"Scientific.Names","Common.Names","Genus","Family","Latitude","Longitude"
"Hermas villosa","","Hermas","Apiaceae","-33.957762","18.429205"
"Hermas villosa","","Hermas","Apiaceae","-33.955294","18.434482"
"Hermas villosa","","Hermas","Apiaceae","-33.957237","18.433557"
"Hermas villosa","","Hermas","Apiaceae","-33.960382","18.405038"
"Hermas villosa","","Hermas","Apiaceae","-33.962293","18.407822"
"Hermas villosa","","Hermas","Apiaceae","-33.962242","18.407747"
"Hermas villosa","","Hermas","Apiaceae","-33.960103","18.412075"
"Hermas villosa","","Hermas","Apiaceae","-33.969145","18.39662"
"Hermas villosa","","Hermas","Apiaceae","-33.969686","18.398906"
"Hermas villosa","","Hermas","Apiaceae","-33.969945","18.398125"
"Hermas villosa","","Hermas","Apiaceae","-33.967134","18.407305"
"Hermas villosa","","Hermas","Apiaceae","-33.967236","18.406308"
"Hermas villosa","","Hermas","Apiaceae","-33.967283","18.406328"
"Hermas villosa","","Hermas","Apiaceae","-33.969442","18.410578"
"Hermas villosa","","Hermas","Apiaceae","-33.96979","18.414184"
"Hermas villosa","","Hermas","Apiaceae","-33.968033","18.436713"
"Hermas villosa","","Hermas","Apiaceae","-33.971588","18.390207"
"Hermas villosa","","Hermas","Apiaceae","-33.971979","18.395335"
"Hermas villosa","","Hermas","Apiaceae","-33.97187","18.408609"
"Hermas villosa","","Hermas","Apiaceae","-33.970142","18.41058"
"Hermas villosa","","Hermas","Apiaceae","-33.973383","18.410764"
"Hermas villosa","","Hermas","Apiaceae","-33.974516","18.41019"
"Hermas villosa","","Hermas","Apiaceae","-33.97253","18.415587"
"Hermas villosa","","Hermas","Apiaceae","-33.972617","18.416014"
"Hermas villosa","","Hermas","Apiaceae","-33.970583","18.419817"
"Hermas villosa","","Hermas","Apiaceae","-33.9749","18.420656"
"Hermas villosa","","Hermas","Apiaceae","-33.97019","18.423103"
"Hermas villosa","","Hermas","Apiaceae","-33.971642","18.421636"
"Hermas villosa","","Hermas","Apiaceae","-33.978873","18.398157"
"Hermas villosa","","Hermas","Apiaceae","-33.978696","18.398454"
"Hermas villosa","","Hermas","Apiaceae","-33.979396","18.40964"
"Hermas villosa","","Hermas","Apiaceae","-33.978613","18.409597"
"Hermas villosa","","Hermas","Apiaceae","-33.97813","18.411013"
"Hermas villosa","","Hermas","Apiaceae","-33.978277","18.411116"
"Hermas villosa","","Hermas","Apiaceae","-33.976553","18.411932"
"Hermas villosa","Hairy Tinderleaf","Hermas","Apiaceae","-33.9771375","18.41978455"
"Hermas villosa","Hairy Tinderleaf","Hermas","Apiaceae","-33.97737778","18.41954236"
"Hermas villosa","Hairy Tinderleaf","Hermas","Apiaceae","-33.9771375","18.41978455"
"Hermas villosa","","Hermas","Apiaceae","-33.976124","18.420709"
"Hermas villosa","","Hermas","Apiaceae","-33.976793","18.420357"
"Hermas villosa","","Hermas","Apiaceae","-33.976729","18.420579"
"Hermas villosa","","Hermas","Apiaceae","-33.979511","18.436495"
"Hermas villosa","","Hermas","Apiaceae","-33.98145","18.384948"
"Leucadendron argenteum","Silver Tree","Leucadendron","Proteaceae","-33.95151738270577","18.456256846095194"
"Leucadendron argenteum","Silver Tree","Leucadendron","Proteaceae","-33.95151375650226","18.456165378494944"
"Leucadendron argenteum","Silver Tree","Leucadendron","Proteaceae","-33.95143534738608","18.45633126589588"
"Leucadendron argenteum","Silver Tree","Leucadendron","Proteaceae","-33.95006501640591","18.454235359172575"
"Leucadendron argenteum","Silver Tree","Leucadendron","Proteaceae","-33.9498701362588","18.453818550704252"
"Leucadendron argenteum","Silver Tree","Leucadendron","Proteaceae","-33.94930937219152","18.4532312732968"
"Leucadendron argenteum","Silver Tree","Leucadendron","Proteaceae","-33.94939699182059","18.453865025894764"
"Leucadendron argenteum","Silver Tree","Leucadendron","Proteaceae","-33.949884825359725","18.452187614061014"
"Leucadendron argenteum","Silver Tree","Leucadendron","Proteaceae","-33.94913994102997","18.453402035039197"
"Leucadendron argenteum","Silver Tree","Leucadendron","Proteaceae","-33.948792107347856","18.45376992152444"
