"Scientific Names","Common Names","Genus","Family","Latitude","Longitude","Elevation","Sample Number"
"Leucospermum conocarpodendron viridum","Green Tree Pincushion","Leucospermum","Proteaceae",-34.14423108,18.42237577,184,5
"Leucospermum conocarpodendron viridum","Green Tree Pincushion","Leucospermum","Proteaceae",-34.05383617,18.36611667,38,6
"Leucospermum conocarpodendron viridum","Green Tree Pincushion","Leucospermum","Proteaceae",-34.26158572,18.42868399,83,7
"Leucospermum conocarpodendron viridum","Green Tree Pincushion","Leucospermum","Proteaceae",-34.19047893,18.36781578,197,8
"Leucospermum conocarpodendron viridum","Green Tree Pincushion","Leucospermum","Proteaceae",-34.0742332,18.36569319,NA,9
"Leucospermum conocarpodendron viridum","Green Tree Pincushion","Leucospermum","Proteaceae",-34.09396333,18.41502246,301,10
"Leucospermum conocarpodendron viridum","Green Tree Pincushion","Leucospermum","Proteaceae",-34.09418278,18.45761951,315,11
"Leucospermum conocarpodendron viridum","Green Tree Pincushion","Leucospermum","Proteaceae",-34.05648333,18.36873,293,12
"Leucospermum conocarpodendron viridum","Green Tree Pincushion","Leucospermum","Proteaceae",-34.08619549,18.41414416,360,13
"Leucospermum conocarpodendron viridum","Green Tree Pincushion","Leucospermum","Proteaceae",-34.24547553,18.3832354,NA,14
"Leucospermum conocarpodendron viridum","Green Tree Pincushion","Leucospermum","Proteaceae",-34.12484595,18.43610543,257,15
"Leucospermum conocarpodendron viridum","Green Tree Pincushion","Leucospermum","Proteaceae",-34.109966,18.3915,55,16
"Leucospermum conocarpodendron viridum","Green Tree Pincushion","Leucospermum","Proteaceae",-34.26185966,18.45795476,201,17
"Leucospermum conocarpodendron viridum","Green Tree Pincushion","Leucospermum","Proteaceae",-34.09800331,18.42654996,357,18
"Liparia splendens splendens","Orange Mountain Dahlia","Liparia","Fabaceae",-34.08922054,18.41277148,360,1
"Liparia splendens splendens","Orange Mountain Dahlia","Liparia","Fabaceae",-34.07968369,18.39688831,511,2
"Liparia splendens splendens","Orange Mountain Dahlia","Liparia","Fabaceae",-33.990295,18.42948,183,3
"Liparia splendens splendens","Orange Mountain Dahlia","Liparia","Fabaceae",-34.05354323,18.42801698,40,4
"Liparia splendens splendens","Orange Mountain Dahlia","Liparia","Fabaceae",-34.10629167,18.435935,347,5
"Liparia splendens splendens","Orange Mountain Dahlia","Liparia","Fabaceae",-34.07015913,18.39612244,492,6
"Liparia splendens splendens","Orange Mountain Dahlia","Liparia","Fabaceae",-33.993843,18.412234,616,7
"Liparia splendens splendens","Orange Mountain Dahlia","Liparia","Fabaceae",-34.07154967,18.39854929,492,8
"Liparia splendens splendens","Orange Mountain Dahlia","Liparia","Fabaceae",-34.10638889,18.43666667,347,9
"Liparia splendens splendens","Orange Mountain Dahlia","Liparia","Fabaceae",-34.03492241,18.38900856,524,10
"Liparia splendens splendens","Orange Mountain Dahlia","Liparia","Fabaceae",-34.00064753,18.41049937,375,11
"Mimetes fimbriifolius","Tree Pagoda","Mimetes","Proteaceae",-34.172733,18.394867,229,1
"Mimetes fimbriifolius","Tree Pagoda","Mimetes","Proteaceae",-34.04122542,18.31805992,466,2
"Mimetes fimbriifolius","Tree Pagoda","Mimetes","Proteaceae",-34.11103333,18.45887833,138,3
"Mimetes fimbriifolius","Tree Pagoda","Mimetes","Proteaceae",-33.99801333,18.40902167,616,4
"Mimetes fimbriifolius","Tree Pagoda","Mimetes","Proteaceae",-34.262157,18.392455,66,5
"Mimetes fimbriifolius","Tree Pagoda","Mimetes","Proteaceae",-34.26563,18.3885857,49,6
"Mimetes fimbriifolius","Tree Pagoda","Mimetes","Proteaceae",-34.08614333,18.40941333,360,7
"Mimetes fimbriifolius","Tree Pagoda","Mimetes","Proteaceae",-34.27749576,18.40731276,63,8
"Mimetes fimbriifolius","Tree Pagoda","Mimetes","Proteaceae",-34.09918535,18.45622895,315,9
